CUST_CC_NO,TIMEID,CUST_SSN,CUST_F_NAME,CUST_M_NAME,CUST_L_NAME,BRANCH_CODE,BRANCH_NAME,TRANSACTION_TYPE,TRANSACTION_VALUE
5113-3622-2322-9720,20240107,877-60-3381,Aryan,,Saha,BR002,City Bank Pune Branch,Refund,-32.38
5228-5203-1096-2260,20240110,734-18-7464,Aryan,,Saha,BR005,City Bank Chandigarh Branch,Payment,4982.95
4667-4972-9540-4022,20240202,468-23-3598,Rajesh,,Yadav,BR004,City Bank Lucknow Branch,Payment,4459.32
4673-6662-4959-7738,20240208,895-58-1979,Aryan,,Shah,BR002,City Bank Pune Branch,Payment,3982.33
5113-3622-2322-9720,20240212,877-60-3381,Aryan,,Saha,BR002,City Bank Pune Branch,Purchase,8576.63
5655-4624-4801-4639,20240207,601-72-3299,Aryan,,Chauhan,BR003,City Bank Kolkata Branch,Payment,2508.25
5964-5270-2972-1374,20240103,483-10-4262,Meena,Kumar,Mehta,BR004,City Bank Lucknow Branch,Purchase,8665.21
4159-1317-3665-4809,20240302,305-89-4303,Vikram,,Pillai,BR003,City Bank Kolkata Branch,Cash Advance,3036.78
4259-9554-7078-6179,20240310,298-75-6844,Kabir,,Chauhan,BR003,City Bank Kolkata Branch,Cash Advance,9020.69
4259-9554-7078-6179,20240217,298-75-6844,Kabir,,Chauhan,BR002,City Bank Pune Branch,Purchase,5298.97
5964-5270-2972-1374,20240222,483-10-4262,Meena,Kumar,Mehta,BR005,City Bank Chandigarh Branch,Purchase,8356.13
5950-6241-6175-5830,20240317,851-66-6199,Pooja,,Dubey,BR001,City Bank Ahmedabad Branch,Payment,3472.08
5251-5319-6783-9886,20240125,326-33-7567,Aditi,,Gupta,BR005,City Bank Chandigarh Branch,Cash Advance,5993.64
4049-7425-2176-8312,20240319,731-81-5494,Rohan,,Jain,BR005,City Bank Chandigarh Branch,Cash Advance,4139.37
5228-5203-1096-2260,20240225,734-18-7464,Aryan,,Saha,BR005,City Bank Chandigarh Branch,Purchase,3085.68
4049-4817-5506-6811,20240314,510-84-7929,Diya,,Yadav,BR004,City Bank Lucknow Branch,Payment,4161.22
5438-9042-9882-2704,20240307,573-94-1864,Aryan,,Reddy,BR002,City Bank Pune Branch,Payment,2821.58
5434-9244-3383-4325,20240228,470-21-7858,Meena,,Jain,BR001,City Bank Ahmedabad Branch,Refund,-34.37
4049-4817-5506-6811,20240128,510-84-7929,Diya,,Yadav,BR001,City Bank Ahmedabad Branch,Cash Advance,1746.81
